Num_threads, size, secs, AVG_already_solved, SD_already_solved, AVG_iterations, SD_iterations, thread_assigment_method
  9,       2000,  0.43367,    256436.0000,     53939.7995,   3127365.0000,    366476.0847, 1
  9,       2000,  0.46300,    315001.1111,     44221.1016,   3358789.5556,    553422.1733, 1
  9,       2000,  0.42256,    242345.2222,     45113.1951,   3060168.6667,    309373.3761, 1
  9,       2000,  0.41488,    247291.3333,     44176.5962,   3040722.5556,    406033.7939, 1
 10,       2000,  0.42837,    214132.9000,     47032.7296,   2823040.0000,    561288.4878, 1
 10,       2000,  0.49817,    274527.0000,     31691.7569,   3253061.7000,    445994.5653, 1
 10,       2000,  0.49912,    276777.8000,     61953.5941,   3244367.3000,    455113.0559, 1
 10,       2000,  0.44007,    225740.4000,     53236.9175,   2875536.2000,    550337.7677, 1
 10,       2000,  0.44190,    233334.2000,     41351.9042,   2863144.5000,    341752.5525, 1
 11,       2000,  0.42889,    215327.3636,     60385.9346,   2556785.4545,    570462.5535, 1
 11,       2000,  0.43520,    200465.7273,     31172.3444,   2575455.9091,    426605.0926, 1
 11,       2000,  0.43626,    203099.2727,     24369.1336,   2590365.3636,    388577.6248, 1
 11,       2000,  0.42760,    220122.3636,     42197.8005,   2561883.3636,    468382.0696, 1
 11,       2000,  0.42158,    198703.4545,     39123.9666,   2502080.7273,    413625.6787, 1
 12,       2000,  0.43622,    196885.7500,     32799.6773,   2367564.5833,    407597.1546, 1
 12,       2000,  0.43504,    181429.5833,     42131.5256,   2349752.0000,    477624.8345, 1
 12,       2000,  0.42538,    185717.1667,     31282.8465,   2297715.3333,    198334.7929, 1
 12,       2000,  0.42344,    182008.4167,     21103.8461,   2312968.7500,    217713.1793, 1
 12,       2000,  0.45299,    226743.5000,     50167.1407,   2483264.0000,    249622.0589, 1
 13,       2000,  0.47809,    214535.1538,     48533.6033,   2406184.0000,    322854.1190, 1
 13,       2000,  0.47447,    217262.2308,     56669.0436,   2407969.3077,    533594.1427, 1
 13,       2000,  0.42773,    191943.0000,     35352.5648,   2186143.5385,    314419.3299, 1
 13,       2000,  0.44671,    176958.3846,     25518.2184,   2236574.5385,    412829.4077, 1
 13,       2000,  0.41334,    174104.0769,     32783.6749,   2108406.3077,    367174.9662, 1
 14,       2000,  0.41901,    154779.0714,     27073.2777,   1950259.7857,    348769.1523, 1
 14,       2000,  0.46650,    200057.2857,     54023.7487,   2171937.0714,    351306.1496, 1
 14,       2000,  0.44138,    182230.7143,     33573.9417,   2088746.5714,    360226.4998, 1
 14,       2000,  0.42366,    171540.5000,     35614.7475,   1999119.8571,    325193.8653, 1
 14,       2000,  0.42993,    161056.9286,     52707.4799,   2012708.6429,    672168.1726, 1
 15,       2000,  0.41182,    147974.3333,     15174.9560,   1831338.9333,    219229.5230, 1
 15,       2000,  0.42528,    149429.8667,     22651.1592,   1837865.6000,    256082.3468, 1
 15,       2000,  0.43963,    163150.2000,     38067.6378,   1905357.9333,    295654.9678, 1
 15,       2000,  0.46502,    162581.6000,     26655.1172,   1994438.8000,    397928.2678, 1
 15,       2000,  0.47159,    163281.2667,     25942.5874,   2020815.6000,    516639.9122, 1
 16,       2000,  0.45451,    149247.5625,     37318.8931,   1841802.8125,    471904.5933, 1
 16,       2000,  0.47085,    167493.6875,     27779.6725,   1936419.4375,    430393.2190, 1
 16,       2000,  0.46070,    155470.6250,     27941.1100,   1868956.7500,    250456.4773, 1
 16,       2000,  0.43363,    144998.4375,     29752.6863,   1782758.6875,    359345.3604, 1
 16,       2000,  0.44415,    154314.1250,     17282.7546,   1798573.9375,    153080.8255, 1
  1,       3000,  1.06598,         0.0000,         0.0000,  16684986.0000,         0.0000, 1
  1,       3000,  1.06529,         0.0000,         0.0000,  16685181.0000,         0.0000, 1
  1,       3000,  1.06265,         0.0000,         0.0000,  16670742.0000,         0.0000, 1
  1,       3000,  1.05828,         0.0000,         0.0000,  16667387.0000,         0.0000, 1
  1,       3000,  1.06426,         0.0000,         0.0000,  16680648.0000,         0.0000, 1
  2,       3000,  0.78595,    679291.5000,    149979.4696,  11788939.5000,    117584.0795, 1
  2,       3000,  0.78009,    499757.5000,     58696.2268,  11108805.0000,    227315.0312, 1
  2,       3000,  0.69020,    425824.5000,     79137.2696,  10466929.0000,     49046.3406, 1
  2,       3000,  0.67243,    383816.5000,     75089.7904,  10268571.0000,    264267.0173, 1
  2,       3000,  0.67217,    385048.0000,     77066.1539,  10278059.5000,    279480.4197, 1
  3,       3000,  1.19883,   1867758.0000,    170602.5353,  16116175.6667,      8375.6321, 1
  3,       3000,  1.20169,   1860693.3333,    151154.7399,  16116180.6667,      9570.8857, 1
  3,       3000,  1.19728,   1867085.6667,    183743.7603,  16127444.6667,      9356.4396, 1
  3,       3000,  1.20011,   1865741.0000,    175855.7123,  16096915.6667,      9698.0303, 1
  3,       3000,  1.19559,   1877664.6667,    176951.2556,  16047780.3333,     12945.3174, 1
  4,       3000,  0.59790,   1480761.0000,   1381978.2317,   7792022.0000,   1250951.8358, 1
  4,       3000,  0.64430,   1481066.2500,   1137059.8230,   8218582.2500,   1302930.5813, 1
  4,       3000,  0.65053,   1491498.2500,   1126044.7707,   8249654.0000,   1281678.3024, 1
  4,       3000,  0.71115,   1526828.5000,    950476.5797,   8872895.2500,   1552045.5793, 1
  4,       3000,  0.64104,   1572048.2500,   1276186.3438,   8168536.5000,   1294225.0759, 1
  5,       3000,  0.72825,   1689735.0000,    937695.9062,   8909629.4000,   1001407.4238, 1
  5,       3000,  0.72919,   1737937.4000,    851360.0824,   8946314.0000,    951039.6044, 1
  5,       3000,  0.64383,   1499673.8000,   1053578.4175,   7983576.4000,   1037544.9875, 1
  5,       3000,  0.63587,   1477823.0000,    782920.8698,   7936440.0000,    824114.5191, 1
  5,       3000,  0.64337,   1497770.0000,   1105128.1748,   7998151.2000,   1059996.3166, 1
  6,       3000,  0.80201,   2094626.5000,   1018452.8230,   9065134.1667,   1260538.0377, 1
  6,       3000,  0.87591,   2149557.0000,   1089100.2921,   9776574.6667,   1664831.7291, 1
  6,       3000,  0.74955,   2597371.3333,   1609660.0677,   9000098.6667,   1153186.1262, 1
  6,       3000,  0.74932,   2610082.8333,   1609168.7022,   9000826.5000,   1175012.3148, 1
  6,       3000,  0.76833,   2620256.5000,   1611544.3219,   9149472.8333,   1177216.4006, 1
  7,       3000,  0.73325,   1812520.8571,    452669.4853,   7684282.2857,    790465.5002, 1
  7,       3000,  0.74443,   1813228.1429,    815106.6151,   7789167.1429,   1238783.8534, 1
  7,       3000,  0.77597,   2147543.2857,    919999.2259,   8322535.8571,   1281886.8111, 1
  7,       3000,  0.76224,   2060450.5714,    888391.6322,   8099306.1429,   1179949.3495, 1
  7,       3000,  0.77551,   2186270.4286,    992231.4257,   8311950.0000,   1161540.6816, 1
  8,       3000,  0.94747,    604335.1250,     52693.4386,   7769081.3750,    153536.2517, 1
  8,       3000,  1.08339,    649870.0000,     60252.6071,   8625287.1250,    193200.3599, 1
  8,       3000,  1.01424,    602970.1250,     64634.4516,   8130212.0000,    188256.3525, 1
  8,       3000,  0.96210,    596293.1250,     33827.6971,   7873746.0000,    106955.4978, 1
  8,       3000,  0.99727,    636653.0000,     40266.5917,   8138463.6250,    136119.6814, 1
  9,       3000,  0.99426,    599862.8889,     95891.2565,   7302830.5556,    752531.1346, 1
  9,       3000,  0.98188,    532821.0000,     59265.6031,   7157233.6667,    498717.6474, 1
  9,       3000,  0.99176,    574494.7778,     74172.6110,   7284978.2222,    449864.4345, 1
  9,       3000,  1.04855,    620753.8889,     66150.4763,   7522853.7778,    649044.4615, 1
  9,       3000,  1.03124,    575341.1111,     49226.3090,   7507255.6667,    619619.7927, 1
 10,       3000,  0.94863,    506604.2000,     67242.7426,   6173183.4000,    804659.0928, 1
 10,       3000,  1.00312,    530819.4000,     68528.7313,   6594050.3000,    627627.3426, 1
 10,       3000,  1.06542,    545410.8000,     70776.4444,   6929733.4000,    700369.0343, 1
 10,       3000,  0.98702,    485969.2000,     60366.9094,   6442743.4000,    672387.4620, 1
 10,       3000,  1.03851,    593382.5000,     87867.8262,   6831308.1000,    901806.0174, 1
 11,       3000,  1.01828,    484666.2727,     45678.5541,   5969749.2727,    633645.7425, 1
 11,       3000,  1.00979,    504549.2727,     79988.7209,   6049034.0000,    845520.8991, 1
 11,       3000,  0.98409,    453281.4545,     59174.4138,   5809525.9091,    581027.4821, 1
 11,       3000,  1.02778,    519557.1818,    105601.4573,   6140492.9091,    605262.2061, 1
 11,       3000,  0.95429,    462354.7273,     52123.8422,   5738683.4545,    737149.9830, 1
 12,       3000,  1.09432,    519298.0000,     67620.8101,   5977974.5000,    574102.2154, 1
 12,       3000,  0.97215,    427994.4167,     49911.6776,   5337934.5833,    577120.6460, 1
 12,       3000,  1.13579,    525554.7500,     47303.6060,   6156372.6667,    526846.1876, 1
 12,       3000,  1.03816,    478313.1667,     66646.9820,   5630215.3333,    437389.9079, 1
 12,       3000,  1.08590,    494322.3333,     50323.7583,   5852383.0000,    608951.2408, 1
 13,       3000,  1.07371,    439377.2308,     39673.5378,   5358725.5385,    322551.2108, 1
