Num_threads, sequence_length, time_after_state_init, full_run_time
1, 14000, 4.589602, 4.657334 
2, 14000, 3.759470, 3.819686 
4, 14000, 2.718395, 2.779930 
8, 14000, 2.170179, 2.184009 
16, 14000, 4.954242, 4.968711 
1, 15000, 5.283524, 5.355682 
2, 15000, 4.225976, 4.299689 
4, 15000, 2.899726, 2.916144 
8, 15000, 2.423146, 2.438988 
16, 15000, 5.627587, 5.642857 
1, 20000, 9.794383, 9.942365 
2, 20000, 7.631723, 7.779751 
4, 20000, 6.141489, 6.162577 
8, 20000, 4.269518, 4.414211 
16, 20000, 9.803367, 9.825619 
1, 25000, 18.618034, 18.857258 
2, 25000, 12.225322, 12.463971 
4, 25000, 9.262399, 9.493651 
8, 25000, 6.441615, 6.675438 
16, 25000, 14.970801, 14.998172 
1, 30000, 25.965839, 26.307335 
2, 30000, 18.283672, 18.622885 
4, 30000, 12.476477, 12.830012 
8, 30000, 9.459038, 9.490682 
16, 30000, 21.332954, 21.367779 
1, 35000, 40.526989, 40.999165 
2, 35000, 26.692795, 27.168024 
4, 35000, 19.141916, 19.620466 
8, 35000, 12.331932, 12.819509 
16, 35000, 28.982676, 29.468943 
1, 40000, 59.561932, 60.193359 
2, 40000, 37.142948, 37.774014 
4, 40000, 22.246672, 22.883570 
8, 40000, 16.737221, 17.361462 
16, 40000, 38.213360, 38.849350 
1, 45000, 66.751045, 67.518967 
2, 45000, 42.966160, 43.746799 
4, 45000, 33.464523, 34.232506 
8, 45000, 22.876093, 23.652195 
16, 45000, 49.785236, 50.562073 
1, 50000, 100.579025, 101.508354 
2, 50000, 56.559166, 57.519131 
4, 50000, 43.374348, 44.305679 
8, 50000, 30.376539, 31.331617 
16, 50000, 63.718555, 64.660637 
1, 55000, 118.569450, 119.728493 
2, 55000, 77.109810, 78.271194 
4, 55000, 51.595535, 52.747673 
8, 55000, 40.886425, 42.021782 
16, 55000, 84.569077, 85.711464 
1, 60000, 159.441772, 160.780777 
2, 60000, 105.975845, 107.353294 
4, 60000, 71.515999, 72.880478 
8, 60000, 56.655144, 58.028835 
16, 60000, 105.738335, 107.101784 
1, 65000, 238.169617, 239.735443 
2, 65000, 156.954971, 158.506256 
4, 65000, 86.266823, 87.862701 
8, 65000, 74.486351, 76.082054 
16, 65000, 144.603195, 146.209152 
1, 70000, 243.958328, 245.784058 
2, 70000, 181.171555, 182.969604 
4, 70000, 106.855659, 108.660713 
8, 70000, 93.805557, 95.609955 
16, 70000, 156.742950, 158.471039 
1, 75000, 303.859375, 305.906158 
2, 75000, 230.143784, 232.248672 
4, 75000, 135.979889, 138.101166 
8, 75000, 117.224556, 119.102150 
16, 75000, 200.788879, 202.673965 
1, 80000, 376.276764, 378.658325 
2, 80000, 267.011627, 269.346436 
4, 80000, 165.103806, 167.518661 
8, 80000, 152.217819, 154.183289 
16, 80000, 224.716522, 226.686035 
1, 85000, 439.447540, 442.072296 
2, 85000, 326.251770, 328.895386 
4, 85000, 213.101959, 215.182419 
8, 85000, 184.888489, 186.989136 
16, 85000, 261.567596, 263.657013 
1, 90000, 526.645874, 529.551453 
2, 90000, 429.201965, 432.186951 
4, 90000, 243.296005, 246.238052 
8, 90000, 228.699936, 231.661102 
16, 90000, 308.887054, 311.839844 
1, 95000, 610.906067, 615.360046 
2, 95000, 498.690887, 502.999786 
4, 95000, 287.462311, 291.921112 
8, 95000, 266.205597, 270.515228 
16, 95000, 347.526733, 350.875946 
1, 100000, 696.240906, 700.718872 
2, 100000, 570.780029, 575.356812 
4, 100000, 330.750519, 334.879120 
8, 100000, 327.443573, 330.613617 
16, 100000, 425.133667, 428.581818 
1, 20000, 9.855174, 10.002351 
2, 20000, 7.471238, 7.614470 
4, 20000, 4.395149, 4.417483 
8, 20000, 4.199989, 4.346784 
16, 20000, 9.807277, 9.831595 
1, 25000, 16.752028, 16.992020 
2, 25000, 12.241925, 12.477268 
4, 25000, 11.355023, 11.594884 
8, 25000, 6.561942, 6.808841 
16, 25000, 14.849420, 14.877869 
1, 30000, 26.315868, 26.660404 
2, 30000, 17.743368, 18.091383 
4, 30000, 9.584216, 9.929747 
8, 30000, 9.310950, 9.344054 
16, 30000, 21.561150, 21.596323 
1, 35000, 41.193123, 41.684216 
2, 35000, 26.619728, 27.102795 
4, 35000, 19.530844, 20.017197 
8, 35000, 12.551858, 13.041310 
16, 35000, 29.162960, 29.653612 
1, 40000, 54.546444, 55.175331 
2, 40000, 37.284565, 37.928413 
4, 40000, 25.624186, 26.251060 
8, 40000, 16.685183, 17.322947 
16, 40000, 38.202736, 38.840164 
1, 45000, 69.231758, 70.010956 
2, 45000, 43.506302, 44.278069 
4, 45000, 33.336643, 34.104588 
8, 45000, 22.583763, 23.371199 
16, 45000, 49.377129, 50.163010 
1, 50000, 98.495827, 99.434700 
2, 50000, 54.424381, 55.366116 
4, 50000, 35.825607, 36.770607 
8, 50000, 30.322351, 31.269236 
16, 50000, 64.853020, 65.805931 
1, 55000, 129.616028, 130.740982 
2, 55000, 80.133194, 81.311897 
4, 55000, 49.485394, 50.640835 
8, 55000, 38.793320, 39.944530 
16, 55000, 80.013321, 81.177567 
1, 60000, 156.917557, 158.292923 
2, 60000, 97.830566, 99.175728 
4, 60000, 77.598228, 78.965309 
8, 60000, 51.103207, 52.483124 
16, 60000, 105.829407, 107.179993 
1, 65000, 236.997833, 238.549332 
2, 65000, 143.139053, 144.747986 
4, 65000, 99.875793, 101.488258 
8, 65000, 84.679123, 86.286194 
16, 65000, 144.225128, 145.806900 
1, 70000, 248.976364, 250.769714 
2, 70000, 175.467697, 177.292435 
4, 70000, 108.636620, 110.460510 
8, 70000, 103.550644, 105.362427 
16, 70000, 161.876114, 163.591721 
1, 75000, 302.660950, 304.763947 
2, 75000, 234.895737, 237.014954 
4, 75000, 124.469696, 126.609840 
8, 75000, 108.048828, 109.939316 
16, 75000, 189.330597, 191.219238 
1, 80000, 375.092163, 377.488037 
2, 80000, 265.667480, 268.086090 
4, 80000, 194.844986, 197.255905 
8, 80000, 154.201569, 156.218063 
16, 80000, 228.821030, 230.801895 
1, 85000, 430.407471, 433.037231 
2, 85000, 347.233826, 349.868561 
4, 85000, 193.835175, 195.916565 
8, 85000, 200.754349, 202.850815 
16, 85000, 285.972504, 288.952057 
1, 90000, 820.627502, 824.693542 
2, 90000, 429.400757, 434.820374 
4, 90000, 333.473114, 337.602142 
8, 90000, 315.784149, 319.164276 
16, 90000, 393.559906, 397.693237 
1, 95000, 989.255066, 994.991760 
2, 95000, 547.857483, 552.711975 
4, 95000, 404.889282, 410.628265 
8, 95000, 431.580994, 437.159180 
16, 95000, 533.056885, 536.545532 
1, 100000, 808.620300, 815.728455 
2, 100000, 556.148987, 560.898682 
4, 100000, 508.119354, 561.001648 
8, 100000, 323.139313, 326.499084 
16, 100000, 387.747742, 390.648834 
1, 20000, 10.069480, 10.213020 
2, 20000, 7.819252, 7.960045 
4, 20000, 5.757864, 5.779826 
8, 20000, 4.164011, 4.309468 
16, 20000, 9.810417, 9.834071 
1, 25000, 19.692358, 19.943499 
2, 25000, 12.001473, 12.257426 
4, 25000, 9.705273, 9.955529 
8, 25000, 6.409424, 6.665351 
16, 25000, 14.948491, 14.980002 
1, 30000, 31.372927, 31.750956 
2, 30000, 18.090952, 18.476082 
4, 30000, 13.219589, 13.604036 
8, 30000, 9.326432, 9.361434 
16, 30000, 21.286268, 21.322449 
1, 35000, 35.628090, 36.116970 
2, 35000, 26.018867, 26.497059 
4, 35000, 18.633934, 19.117184 
8, 35000, 12.511476, 13.000094 
16, 35000, 29.026361, 29.520784 
1, 40000, 65.796700, 66.425453 
2, 40000, 36.062847, 36.699352 
4, 40000, 20.099836, 20.735069 
8, 40000, 16.848976, 17.484047 
16, 40000, 37.913548, 38.550514 
1, 45000, 69.524879, 70.299881 
2, 45000, 43.759815, 44.525822 
4, 45000, 31.296114, 32.107361 
8, 45000, 22.240189, 23.022335 
16, 45000, 49.169460, 49.950645 
1, 50000, 102.045975, 102.984612 
2, 50000, 53.999058, 54.963406 
4, 50000, 39.832916, 40.787270 
8, 50000, 30.234880, 31.186014 
16, 50000, 63.943661, 64.910690 
1, 55000, 122.643028, 123.772949 
2, 55000, 71.638824, 72.802162 
4, 55000, 57.500446, 58.653229 
8, 55000, 42.685650, 43.814644 
16, 55000, 83.888344, 85.030235 
1, 60000, 161.508682, 162.866196 
2, 60000, 99.947624, 101.301033 
4, 60000, 60.199223, 61.570068 
8, 60000, 52.542049, 53.878765 
16, 60000, 112.781273, 114.138596 
1, 65000, 238.867493, 240.420868 
2, 65000, 149.465469, 151.019608 
4, 65000, 112.230988, 113.828468 
8, 65000, 86.766731, 88.339958 
16, 65000, 132.919434, 134.495224 
1, 70000, 251.534576, 253.322922 
2, 70000, 174.067459, 175.879532 
4, 70000, 117.176979, 118.993752 
8, 70000, 97.041992, 98.894592 
16, 70000, 162.328384, 164.097397 
1, 75000, 302.162506, 304.272491 
2, 75000, 224.581192, 226.650787 
4, 75000, 139.868912, 142.001938 
8, 75000, 124.597961, 126.449783 
16, 75000, 186.660706, 188.507248 
1, 80000, 371.826599, 374.155151 
2, 80000, 304.227386, 306.634857 
4, 80000, 169.884842, 172.304932 
8, 80000, 135.717072, 137.735779 
16, 80000, 212.002869, 213.985535 
1, 85000, 445.499329, 448.134338 
2, 85000, 345.291595, 348.009979 
4, 85000, 213.682434, 215.824097 
8, 85000, 188.003021, 190.134949 
16, 85000, 266.592346, 268.682861 
1, 90000, 527.856140, 530.768127 
2, 90000, 422.927124, 425.853027 
4, 90000, 254.347107, 257.380310 
8, 90000, 217.417084, 220.454193 
16, 90000, 304.795380, 307.813751 
1, 95000, 599.747253, 604.182434 
2, 95000, 500.056702, 504.261322 
4, 95000, 310.749481, 315.045166 
8, 95000, 276.884460, 280.997559 
16, 95000, 329.549530, 334.634155 
1, 100000, 691.935608, 696.729919 
2, 100000, 576.697021, 581.270386 
4, 100000, 443.768555, 464.105804 
8, 100000, 317.297516, 323.209717 
16, 100000, 626.146179, 630.440857 
1, 20000, 10.526814, 10.798217 
2, 20000, 8.059212, 8.252884 
4, 20000, 6.933977, 6.959476 
8, 20000, 6.843341, 7.046379 
16, 20000, 8.222922, 8.248246 
1, 25000, 29.669918, 29.973532 
2, 25000, 14.090221, 14.507789 
4, 25000, 11.158540, 11.466232 
8, 25000, 11.811232, 12.119202 
16, 25000, 12.739103, 12.771530 
1, 30000, 59.262405, 59.704880 
2, 30000, 21.651424, 22.245758 
4, 30000, 17.843369, 18.282347 
8, 30000, 16.014158, 16.052891 
16, 30000, 19.196957, 19.235071 
1, 35000, 94.491280, 95.028336 
2, 35000, 32.683369, 33.395855 
4, 35000, 23.103455, 23.630856 
8, 35000, 21.885975, 22.424032 
16, 35000, 26.417381, 26.965666 
