


dp_wave
NUM_THREADS, SEQUENCE_LENGTH, SECS
6, 5000, 0.345717 
6, 5000, 0.352545 
6, 5000, 0.342061 
6, 5000, 0.344060 
6, 5000, 0.349948 
6, 5000, 0.311464 
6, 6000, 0.501193 
6, 6000, 0.519881 
6, 6000, 0.522319 
6, 6000, 0.524439 
6, 6000, 0.500753 
6, 6000, 0.525836 
6, 7000, 0.670396 
6, 7000, 0.692949 
6, 7000, 0.694814 
6, 7000, 0.726676 
6, 7000, 0.721411 
6, 7000, 0.735289 
6, 8000, 0.885121 
6, 8000, 0.900067 
6, 8000, 0.937869 
6, 8000, 0.915483 
6, 8000, 0.829328 
6, 8000, 0.896021 
6, 9000, 1.109342 
6, 9000, 1.115988 
6, 9000, 1.121442 
6, 9000, 1.147693 
6, 9000, 1.116972 
6, 9000, 1.132490 
6, 10000, 1.381006 
6, 10000, 1.375870 
6, 10000, 1.419265 
6, 10000, 1.362658 
6, 10000, 1.379158 
6, 10000, 1.412978 
6, 11000, 1.665176 
6, 11000, 1.630610 
6, 11000, 1.682495 
6, 11000, 1.649619 
6, 11000, 1.690853 
6, 11000, 1.631386 
6, 12000, 1.982149 
6, 12000, 2.002427 
6, 12000, 1.978590 
6, 12000, 1.937577 
6, 12000, 1.975468 
6, 12000, 1.966538 
6, 13000, 2.232102 
6, 13000, 2.326490 
6, 13000, 2.322585 
6, 13000, 2.294897 
6, 13000, 2.302921 
6, 13000, 2.269450 
6, 14000, 2.668122 
6, 14000, 2.696688 
6, 14000, 2.647742 
6, 14000, 2.646294 
6, 14000, 2.669393 
6, 14000, 2.688031 
6, 15000, 2.965775 
6, 15000, 3.088777 
6, 15000, 3.051709 
6, 15000, 3.073728 
6, 15000, 3.074765 
6, 15000, 2.979293 
6, 16000, 3.543232 
6, 16000, 3.497628 
6, 16000, 3.461273 
6, 16000, 3.499924 
6, 16000, 3.368809 
6, 16000, 3.518882 
6, 17000, 3.927907 
6, 17000, 3.860246 
6, 17000, 3.925544 
6, 17000, 3.879196 
6, 17000, 3.968433 
6, 17000, 3.880955 
6, 18000, 4.428092 
6, 18000, 4.348859 
6, 18000, 4.450943 
6, 18000, 4.443530 
6, 18000, 4.479534 
6, 18000, 4.467181 
6, 19000, 4.929900 
6, 19000, 4.908379 
6, 19000, 4.767434 
6, 19000, 4.950346 
6, 19000, 4.953052 
6, 19000, 4.907274 
6, 20000, 5.449354 
6, 20000, 5.460953 
6, 20000, 5.427324 
6, 20000, 5.473009 
6, 20000, 5.383149 
6, 20000, 5.342325 
7, 1000, 0.030909 
7, 1000, 0.030355 
7, 1000, 0.034421 
7, 1000, 0.036034 
7, 1000, 0.028848 
7, 1000, 0.029981 
7, 2000, 0.078178 
7, 2000, 0.074096 
7, 2000, 0.079643 
7, 2000, 0.063428 
7, 2000, 0.069888 
7, 2000, 0.076587 
7, 3000, 0.138967 
7, 3000, 0.138169 
7, 3000, 0.138448 
7, 3000, 0.141630 
7, 3000, 0.140935 
7, 3000, 0.148419 
7, 4000, 0.240823 
7, 4000, 0.234629 
7, 4000, 0.230946 
7, 4000, 0.228577 
7, 4000, 0.237769 
7, 4000, 0.233036 
7, 5000, 0.326253 
7, 5000, 0.346387 
7, 5000, 0.345864 
7, 5000, 0.351010 
7, 5000, 0.350534 
7, 5000, 0.335205 
7, 6000, 0.498998 
7, 6000, 0.478521 
7, 6000, 0.489985 
7, 6000, 0.478191 
7, 6000, 0.486730 
7, 6000, 0.498072 
7, 7000, 0.655744 
7, 7000, 0.667768 
7, 7000, 0.689300 
7, 7000, 0.664539 
7, 7000, 0.663154 
7, 7000, 0.662975 
7, 8000, 0.886962 
7, 8000, 0.847092 
7, 8000, 0.861961 
7, 8000, 0.863275 
7, 8000, 0.866280 
7, 8000, 0.849351 
7, 9000, 1.040777 
7, 9000, 1.050276 
7, 9000, 1.029199 
7, 9000, 1.027627 
7, 9000, 1.033869 
7, 9000, 1.026045 
7, 10000, 1.251575 
7, 10000, 1.226469 
7, 10000, 1.269721 
7, 10000, 1.260056 
7, 10000, 1.265453 
7, 10000, 1.270492 
7, 11000, 1.564689 
7, 11000, 1.522418 
7, 11000, 1.546546 
7, 11000, 1.556785 
7, 11000, 1.557738 
7, 11000, 1.556500 
7, 12000, 1.840750 
7, 12000, 1.856727 
